candidateId,path,symbol,language,role,runtimeReachability,compileConsumers,runtimeConsumers,reflectionConsumers,configurationConsumers,testConsumers,scriptConsumers,historicalReferences,safetyRole,compatibilityRole,qualificationRole,canonicalProductionCounterpart,canonicalTestCounterpart,uniqueAssertionCount,uniqueBehaviorCovered,currentExecutionStatus,finalDisposition,reason,verification
L-001,backend/nq-auth/src/main/java/com/guidinglight/nexusquant/auth/application/service/LocalAuthService.java,LocalAuthService,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_SUPERSEDED,DB backed DbAuthService is the sole AuthService bean in SecurityConfiguration,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-002,backend/nq-auth/src/main/java/com/guidinglight/nexusquant/auth/domain/LocalUserAccount.java,LocalUserAccount,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_DEAD,Only the removed LocalAuthService consumed this configuration account record,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-003,backend/nq-common/src/main/java/com/guidinglight/nexusquant/common/error/AppException.java,AppException,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_DEAD,Placeholder exception has no source/config/test consumer,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-004,backend/nq-common/src/main/java/com/guidinglight/nexusquant/common/error/ErrorCode.java,ErrorCode,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_DEAD,Placeholder enum was only consumed by removed AppException,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-005,backend/nq-core/src/main/java/com/guidinglight/nexusquant/trading/domain/OrderAggregate.java,OrderAggregate,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_DEAD,Gate A record skeleton has no order runtime or test consumer,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-006,backend/nq-core/src/main/java/com/guidinglight/nexusquant/trading/domain/OrdinaryPlaceAuthorityState.java,OrdinaryPlaceAuthorityState,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_DEAD,Enum has no authority runtime or test consumer; current decisions use other domain types,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-007,backend/nq-risk/src/main/java/com/guidinglight/nexusquant/risk/service/NoopRiskGate.java,NoopRiskGate,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_DEAD,"Allow-all implementation has no Bean annotation, wiring, source or test consumer",Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-008,backend/nq-ledger/src/main/java/com/guidinglight/nexusquant/ledger/compatibility/LedgerService.java,LedgerService,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_OBSOLETE_COMPATIBILITY,Only local/test NoopLedgerService bean used the compatibility interface; no injection point remains,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-009,backend/nq-ledger/src/main/java/com/guidinglight/nexusquant/ledger/compatibility/NoopLedgerService.java,NoopLedgerService,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_OBSOLETE_COMPATIBILITY,Only local/test fallback factory constructed this noop Bean; no injection point remains,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-010,backend/nq-ledger/src/main/java/com/guidinglight/nexusquant/ledger/model/LedgerEntry.java,LedgerEntry,Java,unused production object,none demonstrated,0 observed,0 observed,0 observed in Class.forName/ServiceLoader/FQCN scan,0 observed,0 observed,0 observed,historical documentation unchanged,none,none,none,,,,,,REMOVE_DEAD,Gate A ledger record skeleton was only consumed by the removed compatibility LedgerService,Exact token/FQCN and Spring wiring scan; affected reactor test-compile; targeted context/architecture tests
L-011,backend/nq-adapter-binance/src/main/java/com/guidinglight/nexusquant/adapter/binance/marketdata/BinanceHistoricalKlineAdapter.java,BinanceHistoricalKlineAdapter,Java,zero direct name reference candidate,Spring component scan,0 observed,Spring component scan,not required for KEEP,Component,0 observed,not required for KEEP,historical snapshots retained,none,none,none,,,,,,KEEP_ACTIVE_RUNTIME,Spring component scan from NexusQuantApplication reaches this annotated type,Token scan across main/test/config/scripts; annotation and application component-scan review
