11:41:23.712 [main] INFO org.flywaydb.core.FlywayExecutor -- Database: jdbc:postgresql://127.0.0.1:40037/nq_b2_env_full (PostgreSQL 16.15)
11:41:23.790 [main] INFO org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory -- Schema history table "public"."flyway_schema_history" does not exist yet
11:41:23.796 [main] INFO org.flywaydb.core.internal.command.DbValidate -- Successfully validated 48 migrations (execution time 00:00.059s)
11:41:23.806 [main] INFO org.flywaydb.core.internal.schemahistory.JdbcTableSchemaHistory -- Creating Schema History table "public"."flyway_schema_history" ...
11:41:23.838 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Current version of schema "public": << Empty Schema >>
11:41:23.856 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "1 - init"
11:41:23.899 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "2 - gate b schema hardening"
11:41:23.913 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "3 - gate c adapter router"
11:41:23.924 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "4 - gate c trade external order id index"
11:41:23.940 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "5 - gate e schema contract alignment"
11:41:23.963 [main] INFO org.flywaydb.core.internal.sqlscript.DefaultSqlScriptExecutor -- DB: trigger "trg_orders_gatee_metadata" for relation "orders" does not exist, skipping
11:41:23.965 [main] INFO org.flywaydb.core.internal.sqlscript.DefaultSqlScriptExecutor -- DB: trigger "trg_trades_gatee_metadata" for relation "trades" does not exist, skipping
11:41:24.007 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "6 - schema comments backfill"
11:41:24.047 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "7 - gate f1 research backtest skeleton"
11:41:24.059 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "8 - gate f3 simulated execution facts"
11:41:24.072 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "9 - gate f4 evaluation reports"
11:41:24.082 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "10 - gate f5 publish records"
11:41:24.093 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "11 - gate f schema comments backfill"
11:41:24.141 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "12 - rc1 account and credentials"
11:41:24.158 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "13 - rc1 marketdata bars"
11:41:24.166 [main] INFO org.flywaydb.core.internal.command.DbMigrate -- Migrating schema "public" to version "14 - rc1 schema comments backfill"
