[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.128 s -- in com.guidinglight.nexusquant.contracts.event.EventEnvelopeSerializationTest
[INFO] Tests run: 1, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.030 s -- in com.guidinglight.nexusquant.risk.service.KillSwitchRiskRuleTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.041 s -- in com.guidinglight.nexusquant.risk.service.KillSwitchServiceTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.010 s -- in com.guidinglight.nexusquant.risk.service.PreTradeRiskServiceTest
[INFO] Tests run: 12, Failures: 0, Errors: 0, Skipped: 0
[INFO] Tests run: 16, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.195 s -- in com.guidinglight.nexusquant.account.application.CredentialPermissionProbeServiceTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in com.guidinglight.nexusquant.account.application.ExchangeAccountCommandServiceTest
[INFO] Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.039 s -- in com.guidinglight.nexusquant.account.application.ExchangeAccountCredentialCommandServiceTest
[INFO] Tests run: 5, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in com.guidinglight.nexusquant.account.application.ExchangeAccountCredentialVerificationServiceTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.002 s -- in com.guidinglight.nexusquant.account.application.ExchangeAccountQueryServiceTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in com.guidinglight.nexusquant.livecontrol.application.MinimalLivePilotCommandTest
[INFO] Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.005 s -- in com.guidinglight.nexusquant.livecontrol.deployment.KillSwitchPropagationPolicyTest
[INFO] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.022 s -- in com.guidinglight.nexusquant.livecontrol.deployment.ScopedCredentialCapabilityPolicyTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.007 s -- in com.guidinglight.nexusquant.livecontrol.deployment.WorkerDeploymentAdmissionServiceTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in com.guidinglight.nexusquant.livecontrol.domain.ExactPilotBindingCanonicalEncoderTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.028 s -- in com.guidinglight.nexusquant.livecontrol.domain.ExactPilotScopeAuthorizationCanonicalEncoderTest
[INFO] Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.018 s -- in com.guidinglight.nexusquant.livecontrol.domain.LiveSessionDomainTest
[INFO] Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.012 s -- in com.guidinglight.nexusquant.livecontrol.domain.OperatorPilotAuthorityTest
